scenario_id,event_type,venue_type,guest_count,room_length_m,room_width_m,room_area_m2,budget_pkr,budget_per_guest_pkr,age_group,time_of_day,preferred_color,preferred_style,theme_label,cake_label,decor_label,layout_label,recommended_servings,labelled_by,confidence,source,review_status,dataset_split,generation_seed,rule_notes
BSAR0018,wedding,hall,45,12.2,7.2,87.8,110000,2444,adult,day,red,elegant,elegant_gold,two_tier_round,rustic_wood_setup,cake_and_dessert_table,45,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,validation,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0019,wedding,hall,157,20.5,11,225.5,1171000,7459,adult,day,gold,elegant,elegant_gold,three_tier_luxury,luxury_stage,full_stage_setup,157,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0020,birthday,restaurant,18,6.2,4,24.8,65000,3611,child,day,mixed,colourful,colourful_cartoon,single_tier_square,balloon_setup,single_cake_table,18,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0021,birthday,home,76,9.3,8.3,77.2,202000,2658,child,day,mixed,colourful,colourful_cartoon,two_tier_floral,rustic_wood_setup,two_side_tables,76,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0022,graduation,outdoor,9,5.8,5,29,41000,4556,adult,night,gold,elegant,elegant_gold,single_tier_round,rustic_wood_setup,single_cake_table,9,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,validation,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0023,wedding,home,87,12.9,8.1,104.5,402000,4621,adult,day,red,elegant,traditional_luxury,two_tier_round,flower_wall,two_side_tables,87,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0024,wedding,home,51,8.5,7.1,60.4,219000,4294,mixed,night,white,elegant,modern_minimal,two_tier_floral,rustic_wood_setup,cake_and_dessert_table,51,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0025,baby_shower,hall,37,10,6.9,69,79000,2135,adult,night,mixed,colourful,colourful_cartoon,single_tier_square,balloon_setup,cake_and_dessert_table,37,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0026,birthday,hall,50,11.4,8.3,94.6,452000,9040,child,day,red,minimal,rustic_natural,two_tier_round,luxury_stage,full_stage_setup,50,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0027,birthday,outdoor,27,10.6,7,74.2,93000,3444,adult,night,green,rustic,rustic_natural,single_tier_square,balloon_setup,single_cake_table,27,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0028,graduation,outdoor,154,21.3,15.3,325.9,401000,2604,adult,day,white,rustic,rustic_natural,three_tier_luxury,balloon_setup,two_side_tables,154,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0029,wedding,home,49,9.8,6.4,62.7,245000,5000,adult,night,green,rustic,rustic_natural,two_tier_round,flower_wall,cake_and_dessert_table,49,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0030,baby_shower,hall,12,5.9,3.9,23,94000,7833,mixed,day,white,minimal,rustic_natural,single_tier_round,flower_wall,single_cake_table,12,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,validation,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0031,wedding,outdoor,59,13.5,7.4,99.9,245000,4153,adult,night,mixed,elegant,elegant_gold,two_tier_floral,rustic_wood_setup,cake_and_dessert_table,59,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0032,wedding,restaurant,17,5.9,4.5,26.6,58000,3412,mixed,night,gold,traditional,traditional_luxury,single_tier_round,balloon_setup,single_cake_table,17,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0033,wedding,restaurant,86,10.7,9.1,97.4,214000,2488,adult,night,white,colourful,pastel_floral,two_tier_round,minimal_backdrop,two_side_tables,86,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0034,baby_shower,restaurant,174,16.2,13.6,220.3,385000,2213,adult,day,white,minimal,modern_minimal,three_tier_luxury,balloon_setup,two_side_tables,174,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0035,graduation,restaurant,61,10.1,6.6,66.7,715000,11721,adult,night,mixed,minimal,modern_minimal,two_tier_floral,luxury_stage,full_stage_setup,61,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,validation,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0036,anniversary,restaurant,52,8.6,6.7,57.6,635000,12212,adult,day,white,minimal,modern_minimal,two_tier_round,luxury_stage,full_stage_setup,52,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0037,birthday,hall,179,20.9,16.1,336.5,918000,5128,teenager,day,pink,colourful,colourful_cartoon,three_tier_luxury,flower_wall,full_stage_setup,179,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0038,anniversary,restaurant,21,5.8,4.7,27.3,69000,3286,adult,day,pink,minimal,pastel_floral,single_tier_square,flower_wall,single_cake_table,21,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0039,anniversary,hall,25,8,6,48,62000,2480,adult,night,gold,minimal,modern_minimal,single_tier_square,minimal_backdrop,single_cake_table,25,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0040,birthday,restaurant,108,12.6,11.1,139.9,769000,7120,child,night,mixed,elegant,pastel_floral,two_tier_floral,luxury_stage,full_stage_setup,108,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0041,birthday,hall,34,8.7,7.1,61.8,104000,3059,teenager,day,blue,colourful,colourful_cartoon,single_tier_square,rustic_wood_setup,cake_and_dessert_table,34,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0042,baby_shower,hall,74,16.3,8.9,145.1,184000,2486,adult,day,red,colourful,colourful_cartoon,two_tier_round,rustic_wood_setup,two_side_tables,74,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0043,graduation,hall,24,9.7,5.1,49.5,303000,12625,adult,night,mixed,elegant,colourful_cartoon,single_tier_square,luxury_stage,full_stage_setup,24,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0044,graduation,restaurant,39,9,7.9,71.1,155000,3974,teenager,day,mixed,minimal,modern_minimal,two_tier_round,flower_wall,cake_and_dessert_table,39,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0045,wedding,restaurant,17,5.9,5,29.5,89000,5235,adult,day,white,minimal,modern_minimal,single_tier_round,rustic_wood_setup,single_cake_table,17,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0046,graduation,hall,38,10.3,8.1,83.4,183000,4816,teenager,night,white,elegant,elegant_gold,two_tier_round,flower_wall,cake_and_dessert_table,38,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0047,baby_shower,hall,108,13.4,12,160.8,290000,2685,mixed,day,white,rustic,rustic_natural,three_tier_luxury,balloon_setup,two_side_tables,108,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0048,wedding,home,62,10.6,7.1,75.3,167000,2694,mixed,night,red,elegant,traditional_luxury,two_tier_round,balloon_setup,cake_and_dessert_table,62,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0049,anniversary,restaurant,250,19.9,15.6,310.4,2243000,8972,adult,night,gold,elegant,elegant_gold,three_tier_luxury,luxury_stage,full_stage_setup,250,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0050,birthday,restaurant,56,11.5,7.2,82.8,234000,4179,child,night,green,rustic,rustic_natural,two_tier_floral,flower_wall,cake_and_dessert_table,56,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,validation,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0051,birthday,hall,46,10.8,7.9,85.3,478000,10391,child,day,white,minimal,modern_minimal,two_tier_round,luxury_stage,full_stage_setup,46,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0052,birthday,outdoor,71,13,9.8,127.4,231000,3254,child,day,gold,elegant,elegant_gold,two_tier_round,rustic_wood_setup,two_side_tables,71,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0053,baby_shower,home,36,8.7,5.2,45.2,118000,3278,adult,night,purple,colourful,pastel_floral,two_tier_round,balloon_setup,cake_and_dessert_table,36,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0054,wedding,hall,32,10.8,6,64.8,143000,4469,adult,day,green,minimal,modern_minimal,single_tier_square,flower_wall,cake_and_dessert_table,32,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0055,baby_shower,hall,78,14.8,8.1,119.9,431000,5526,adult,night,white,elegant,elegant_gold,two_tier_round,flower_wall,two_side_tables,78,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0056,anniversary,hall,24,8.2,7.1,58.2,158000,6583,adult,night,mixed,traditional,pastel_floral,single_tier_square,flower_wall,single_cake_table,24,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0057,wedding,outdoor,37,11.1,8.6,95.5,166000,4486,adult,day,red,rustic,rustic_natural,single_tier_square,rustic_wood_setup,cake_and_dessert_table,37,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0058,baby_shower,home,15,4.8,3.8,18.2,64000,4267,adult,night,purple,colourful,colourful_cartoon,single_tier_round,balloon_setup,single_cake_table,15,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0059,wedding,hall,172,16.2,14.1,228.4,925000,5378,adult,day,blue,elegant,modern_minimal,three_tier_luxury,luxury_stage,full_stage_setup,172,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0060,birthday,hall,18,7.2,5.3,38.2,63000,3500,child,night,gold,rustic,rustic_natural,single_tier_square,minimal_backdrop,single_cake_table,18,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0061,graduation,home,228,15.5,11.7,181.4,906000,3974,teenager,day,mixed,colourful,pastel_floral,three_tier_luxury,flower_wall,two_side_tables,228,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0062,birthday,hall,89,15.6,10.8,168.5,793000,8910,child,day,purple,elegant,pastel_floral,two_tier_round,luxury_stage,full_stage_setup,89,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0063,baby_shower,hall,213,20.3,18.1,367.4,1145000,5376,mixed,day,white,colourful,pastel_floral,three_tier_luxury,flower_wall,full_stage_setup,213,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0064,wedding,hall,46,11.1,7,77.7,93000,2022,mixed,day,white,rustic,rustic_natural,two_tier_floral,minimal_backdrop,cake_and_dessert_table,46,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0065,wedding,restaurant,81,12.3,7.1,87.3,207000,2556,adult,night,mixed,elegant,elegant_gold,two_tier_floral,minimal_backdrop,two_side_tables,81,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0066,wedding,hall,97,16.1,10.1,162.6,691000,7124,mixed,night,gold,rustic,rustic_natural,two_tier_floral,luxury_stage,full_stage_setup,97,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,validation,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0067,baby_shower,outdoor,17,7.7,6.6,50.8,99000,5824,adult,night,mixed,minimal,pastel_floral,single_tier_square,flower_wall,single_cake_table,17,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0068,anniversary,hall,21,7.9,4.9,38.7,217000,10333,mixed,night,pink,colourful,pastel_floral,single_tier_round,luxury_stage,full_stage_setup,21,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0069,wedding,home,95,13.6,7.6,103.4,341000,3589,mixed,night,white,colourful,pastel_floral,three_tier_luxury,balloon_setup,two_side_tables,95,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0070,graduation,home,81,11.3,7,79.1,179000,2210,mixed,day,white,minimal,modern_minimal,two_tier_round,balloon_setup,two_side_tables,81,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0071,birthday,outdoor,85,17.4,10.5,182.7,358000,4212,child,night,green,elegant,modern_minimal,two_tier_round,flower_wall,two_side_tables,85,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0072,anniversary,hall,22,6.2,5.3,32.9,81000,3682,adult,day,gold,elegant,traditional_luxury,single_tier_square,balloon_setup,single_cake_table,22,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0073,birthday,outdoor,61,13.2,9.8,129.4,147000,2410,child,night,pink,colourful,colourful_cartoon,two_tier_floral,minimal_backdrop,cake_and_dessert_table,61,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 45-120; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0074,wedding,hall,22,7.8,6.9,53.8,34000,1545,mixed,night,green,minimal,rustic_natural,single_tier_round,minimal_backdrop,single_cake_table,22,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0075,anniversary,outdoor,13,8.2,5.7,46.7,61000,4692,adult,night,gold,traditional,traditional_luxury,single_tier_round,rustic_wood_setup,single_cake_table,13,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0076,birthday,hall,214,22,12.4,272.8,676000,3159,child,day,pink,colourful,pastel_floral,three_tier_luxury,rustic_wood_setup,full_stage_setup,214,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 90-250; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0077,anniversary,restaurant,16,5.4,3.8,20.5,202000,12625,adult,day,green,rustic,rustic_natural,single_tier_round,luxury_stage,full_stage_setup,16,bakesmart_rule_generator_v1,4,synthetic_rule_based,pending_expert_review,test,20260817,"Theme-conditioned preferences; cake guest band 8-25; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0078,wedding,home,35,7.1,5.1,36.2,92000,2629,adult,night,gold,elegant,elegant_gold,single_tier_square,balloon_setup,cake_and_dessert_table,35,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0079,baby_shower,outdoor,30,9,6.6,59.4,199000,6633,adult,day,white,minimal,modern_minimal,single_tier_square,flower_wall,cake_and_dessert_table,30,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,validation,20260817,"Theme-conditioned preferences; cake guest band 15-40; decor-conditioned venue/budget; layout derived from guests, venue and decor."
BSAR0080,birthday,restaurant,68,9.8,7.7,75.5,311000,4574,teenager,day,green,rustic,rustic_natural,two_tier_round,rustic_wood_setup,cake_and_dessert_table,68,bakesmart_rule_generator_v1,5,synthetic_rule_based,pending_expert_review,train,20260817,"Theme-conditioned preferences; cake guest band 35-90; decor-conditioned venue/budget; layout derived from guests, venue and decor."
