commons_page_id,title,source_category,source_page_url,original_url,download_url,license,license_url,creator,credit,automated_license_screen,training_status
65361903,File:196 Pope's meeting room.jpg,Meeting rooms,https://commons.wikimedia.org/wiki/File:196_Pope%27s_meeting_room.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/196_Pope%27s_meeting_room.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/196_Pope%27s_meeting_room.jpg/500px-196_Pope%27s_meeting_room.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,Czaich Á. Gilbert és Fráter Aladár . Budapest 1907,book: Pius X. pápa. Pius pápa életének és uralkodásának története napjainkig. Budapest 1907,passed,candidate_not_for_training
20433353,File:2012-06-Stasimuseum Berlin Tagungsraum 01 anagoria.JPG,Conference rooms,https://commons.wikimedia.org/wiki/File:2012-06-Stasimuseum_Berlin_Tagungsraum_01_anagoria.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4e/2012-06-Stasimuseum_Berlin_Tagungsraum_01_anagoria.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/2012-06-Stasimuseum_Berlin_Tagungsraum_01_anagoria.JPG/500px-2012-06-Stasimuseum_Berlin_Tagungsraum_01_anagoria.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Anagoria,Own work,passed,candidate_not_for_training
178332446,File:'t Aygems Cafeetje - binnen (Q134888692).jpg,Interiors of restaurants,https://commons.wikimedia.org/wiki/File:%27t_Aygems_Cafeetje_-_binnen_(Q134888692).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c0/%27t_Aygems_Cafeetje_-_binnen_%28Q134888692%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/%27t_Aygems_Cafeetje_-_binnen_%28Q134888692%29.jpg/500px-%27t_Aygems_Cafeetje_-_binnen_%28Q134888692%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,JanV1962,Own work,passed,candidate_not_for_training
150956585,File:1934-02 OBRAS 07.jpg,Assembly halls,https://commons.wikimedia.org/wiki/File:1934-02_OBRAS_07.jpg,https://upload.wikimedia.org/wikipedia/commons/0/03/1934-02_OBRAS_07.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/1934-02_OBRAS_07.jpg/500px-1934-02_OBRAS_07.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,Unknown author Unknown author,Obras. Revista de la construcción,passed,candidate_not_for_training
2485431,File:Bedlewo institute.JPG,Convention centers,https://commons.wikimedia.org/wiki/File:Bedlewo_institute.JPG,https://upload.wikimedia.org/wikipedia/commons/f/ff/Bedlewo_institute.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bedlewo_institute.JPG/500px-Bedlewo_institute.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,Staecker,Own work,passed,candidate_not_for_training
16773060,File:AKB48 theater interior.jpg,Foyers,https://commons.wikimedia.org/wiki/File:AKB48_theater_interior.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/AKB48_theater_interior.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/AKB48_theater_interior.jpg/500px-AKB48_theater_interior.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Karl Baron from Malmö, Sweden",天国,passed,candidate_not_for_training
3260299,File:Expodroom.jpg,Exhibition halls,https://commons.wikimedia.org/wiki/File:Expodroom.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Expodroom.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Expodroom.jpg/500px-Expodroom.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0 be,https://creativecommons.org/licenses/by/2.0/be/deed.en,TTI nv,The original uploader was SuzyMalter at Dutch Wikipedia .,passed,candidate_not_for_training
194864505,"File:Banquet room, Hotel Grand Palace, Iidabashi, Tokyo - Nov 11, 2011.jpg",Banquet halls,"https://commons.wikimedia.org/wiki/File:Banquet_room,_Hotel_Grand_Palace,_Iidabashi,_Tokyo_-_Nov_11,_2011.jpg",https://upload.wikimedia.org/wikipedia/commons/6/6c/Banquet_room%2C_Hotel_Grand_Palace%2C_Iidabashi%2C_Tokyo_-_Nov_11%2C_2011.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Banquet_room%2C_Hotel_Grand_Palace%2C_Iidabashi%2C_Tokyo_-_Nov_11%2C_2011.jpg/480px-Banquet_room%2C_Hotel_Grand_Palace%2C_Iidabashi%2C_Tokyo_-_Nov_11%2C_2011.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Kazuhisa OTSUBO,https://www.flickr.com/photos/cytech/6333503157/,passed,candidate_not_for_training
24305675,File:Blackpool Tower Ballroom revisited (7636143384).jpg,Ballrooms,https://commons.wikimedia.org/wiki/File:Blackpool_Tower_Ballroom_revisited_(7636143384).jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Blackpool_Tower_Ballroom_revisited_%287636143384%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Blackpool_Tower_Ballroom_revisited_%287636143384%29.jpg/480px-Blackpool_Tower_Ballroom_revisited_%287636143384%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Michael D Beckwith,Blackpool Tower Ballroom,passed,candidate_not_for_training
52462130,File:00882-Karlsbad-1898-Gruß aus dem Auerhahn-Brück & Sohn Kunstverlag.jpg,Dining rooms,https://commons.wikimedia.org/wiki/File:00882-Karlsbad-1898-Gru%C3%9F_aus_dem_Auerhahn-Br%C3%BCck_%26_Sohn_Kunstverlag.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/00882-Karlsbad-1898-Gru%C3%9F_aus_dem_Auerhahn-Br%C3%BCck_%26_Sohn_Kunstverlag.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/00882-Karlsbad-1898-Gru%C3%9F_aus_dem_Auerhahn-Br%C3%BCck_%26_Sohn_Kunstverlag.jpg/480px-00882-Karlsbad-1898-Gru%C3%9F_aus_dem_Auerhahn-Br%C3%BCck_%26_Sohn_Kunstverlag.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Brück & Sohn Kunstverlag Meißen,Own work,passed,candidate_not_for_training
480567,File:A Sixteenth Century Room.jpg,Living rooms,https://commons.wikimedia.org/wiki/File:A_Sixteenth_Century_Room.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/A_Sixteenth_Century_Room.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/6/63/A_Sixteenth_Century_Room.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,,Unknown,Wikimedia Commons,passed,candidate_not_for_training
16098072,File:Israel Batch 1 (102).JPG,Reception rooms,https://commons.wikimedia.org/wiki/File:Israel_Batch_1_(102).JPG,https://upload.wikimedia.org/wikipedia/commons/a/a4/Israel_Batch_1_%28102%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Israel_Batch_1_%28102%29.JPG/480px-Israel_Batch_1_%28102%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,User:Mattes,Own work,passed,candidate_not_for_training
15336480,File:Function Rooms Melbourne.jpg,Function rooms,https://commons.wikimedia.org/wiki/File:Function_Rooms_Melbourne.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Function_Rooms_Melbourne.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Function_Rooms_Melbourne.jpg/480px-Function_Rooms_Melbourne.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Partyhelp ( website ),flickr,passed,candidate_not_for_training
157011221,File:Aspen Country Hills Wedding Venue.jpg,Wedding venues,https://commons.wikimedia.org/wiki/File:Aspen_Country_Hills_Wedding_Venue.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Aspen_Country_Hills_Wedding_Venue.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Aspen_Country_Hills_Wedding_Venue.jpg/480px-Aspen_Country_Hills_Wedding_Venue.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Aspencountryhills,Own work,passed,candidate_not_for_training
178822287,File:Disney’s Contemporary Liminal Hallway.jpg,Event venues,https://commons.wikimedia.org/wiki/File:Disney%E2%80%99s_Contemporary_Liminal_Hallway.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Disney%E2%80%99s_Contemporary_Liminal_Hallway.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Disney%E2%80%99s_Contemporary_Liminal_Hallway.jpg/480px-Disney%E2%80%99s_Contemporary_Liminal_Hallway.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,KyleSirTalksAlot,Own work,passed,candidate_not_for_training
65163724,File:DSC-0415-hotel-colosseo-shkoder-albania-august-2017.jpg,Hotel lobbies,https://commons.wikimedia.org/wiki/File:DSC-0415-hotel-colosseo-shkoder-albania-august-2017.jpg,https://upload.wikimedia.org/wikipedia/commons/0/06/DSC-0415-hotel-colosseo-shkoder-albania-august-2017.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/DSC-0415-hotel-colosseo-shkoder-albania-august-2017.jpg/480px-DSC-0415-hotel-colosseo-shkoder-albania-august-2017.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Rakoon,Own work,passed,candidate_not_for_training
5396412,File:6th Wagga Wagga Scouts Hall.jpg,Community halls,https://commons.wikimedia.org/wiki/File:6th_Wagga_Wagga_Scouts_Hall.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/6th_Wagga_Wagga_Scouts_Hall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/6th_Wagga_Wagga_Scouts_Hall.jpg/480px-6th_Wagga_Wagga_Scouts_Hall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Bidgee,Own work,passed,candidate_not_for_training
86480107,File:Emergenza coronavirus (49468823973).jpg,Meeting rooms,https://commons.wikimedia.org/wiki/File:Emergenza_coronavirus_(49468823973).jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Emergenza_coronavirus_%2849468823973%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Emergenza_coronavirus_%2849468823973%29.jpg/500px-Emergenza_coronavirus_%2849468823973%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Dipartimento Protezione Civile from Italia,Emergenza coronavirus,passed,candidate_not_for_training
19971991,File:2012-0609-ParkInn-SkylightRoom.jpg,Conference rooms,https://commons.wikimedia.org/wiki/File:2012-0609-ParkInn-SkylightRoom.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/2012-0609-ParkInn-SkylightRoom.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/2012-0609-ParkInn-SkylightRoom.jpg/500px-2012-0609-ParkInn-SkylightRoom.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Bobak Ha'Eri,Own work,passed,candidate_not_for_training
178332583,File:'t Aygems Cafeetje - binnen 2 (Q134888692).jpg,Interiors of restaurants,https://commons.wikimedia.org/wiki/File:%27t_Aygems_Cafeetje_-_binnen_2_(Q134888692).jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/%27t_Aygems_Cafeetje_-_binnen_2_%28Q134888692%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/%27t_Aygems_Cafeetje_-_binnen_2_%28Q134888692%29.jpg/500px-%27t_Aygems_Cafeetje_-_binnen_2_%28Q134888692%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,JanV1962,Own work,passed,candidate_not_for_training
150956588,File:1934-02 OBRAS 08.jpg,Assembly halls,https://commons.wikimedia.org/wiki/File:1934-02_OBRAS_08.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ec/1934-02_OBRAS_08.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/1934-02_OBRAS_08.jpg/500px-1934-02_OBRAS_08.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,Unknown author Unknown author,Obras. Revista de la construcción,passed,candidate_not_for_training
177473060,File:Centro de Convenciones Atlapa 2025.jpg,Convention centers,https://commons.wikimedia.org/wiki/File:Centro_de_Convenciones_Atlapa_2025.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Centro_de_Convenciones_Atlapa_2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Centro_de_Convenciones_Atlapa_2025.jpg/500px-Centro_de_Convenciones_Atlapa_2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Virpana,Own work,passed,candidate_not_for_training
4264241,File:Amsterdam Muziektheater foyer.jpg,Foyers,https://commons.wikimedia.org/wiki/File:Amsterdam_Muziektheater_foyer.jpg,https://upload.wikimedia.org/wikipedia/commons/0/01/Amsterdam_Muziektheater_foyer.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Amsterdam_Muziektheater_foyer.jpg/500px-Amsterdam_Muziektheater_foyer.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Photo: Andreas Praefcke,Own work,passed,candidate_not_for_training
23205396,File:Montgomery County Fairgrounds Coliseum.jpg,Exhibition halls,https://commons.wikimedia.org/wiki/File:Montgomery_County_Fairgrounds_Coliseum.jpg,https://upload.wikimedia.org/wikipedia/commons/0/00/Montgomery_County_Fairgrounds_Coliseum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Montgomery_County_Fairgrounds_Coliseum.jpg/500px-Montgomery_County_Fairgrounds_Coliseum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,Nyttend,Own work,passed,candidate_not_for_training
58179918,File:HRS Bhavan - 92 Artillery Road - Barrackpore - Kolkata 2017-03-31 1143.JPG,Banquet halls,https://commons.wikimedia.org/wiki/File:HRS_Bhavan_-_92_Artillery_Road_-_Barrackpore_-_Kolkata_2017-03-31_1143.JPG,https://upload.wikimedia.org/wikipedia/commons/d/db/HRS_Bhavan_-_92_Artillery_Road_-_Barrackpore_-_Kolkata_2017-03-31_1143.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/HRS_Bhavan_-_92_Artillery_Road_-_Barrackpore_-_Kolkata_2017-03-31_1143.JPG/480px-HRS_Bhavan_-_92_Artillery_Road_-_Barrackpore_-_Kolkata_2017-03-31_1143.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Biswarup Ganguly,Own work,passed,candidate_not_for_training
21344548,"File:Casino Ballroom, MON 1909.jpg",Ballrooms,"https://commons.wikimedia.org/wiki/File:Casino_Ballroom,_MON_1909.jpg",https://upload.wikimedia.org/wikipedia/commons/7/7d/Casino_Ballroom%2C_MON_1909.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Casino_Ballroom%2C_MON_1909.jpg/480px-Casino_Ballroom%2C_MON_1909.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,,"Book by William Henry Koebel (1872-1926) Photo by Henrique Augusto Vieira de Castro (1869-1926) The illustrations are attributed generally in the preface as: "" In addition to Miss Cossart's illustrations, which I take no little pride in including in the volume, I have to thank Mr. H. C. Houghton for those dealing with the ""Levadas"" and some others, and Mr V. de Castro and the Messrs Reid respectively for the photographs of the Casino and Hotels. Several of the sketches now offered have appeared in the Globe, and, as in previous works, I have to acknowledge the courtesy of the editor for their reproduction. """,Madeira: Old and New,passed,candidate_not_for_training
