decor_id,theme_id,event_types,category,item_name,description,indoor_outdoor,space_requirement,placement_zone,quantity_rule,color_options,material,rental_or_purchase,safety_notes,ar_asset_key,search_terms
tropical-decor-04,tropical,birthday;wedding;bridal-shower;corporate;summer-party,table-setting,Citrus fruit and leaf table runner,Citrus fruit and leaf table runner selected in the Tropical palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#0F6B4F;#58A65C;#FF8A47;#F7C948;#F7F2E8,palm leaves;bamboo;rattan;cotton;acrylic,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/tropical/table-setting-01,Citrus fruit and leaf table runner;Tropical;event decor;party rental
tropical-decor-05,tropical,birthday;wedding;bridal-shower;corporate;summer-party,signage,Coral and yellow napkin set,Coral and yellow napkin set selected in the Tropical palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#0F6B4F;#58A65C;#FF8A47;#F7C948;#F7F2E8,palm leaves;bamboo;rattan;cotton;acrylic,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/tropical/signage-01,Coral and yellow napkin set;Tropical;event decor;party rental
vintage-garden-decor-01,vintage-garden,wedding;bridal-shower;baby-shower;birthday;tea-party,backdrop,Vintage-style floral fabric backdrop,Vintage-style floral fabric backdrop selected in the Vintage Garden palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#F6E4E8;#D8C8A8;#A9B99A;#7C8A6A;#FFF9F0,lace;china;aged brass;wood;soft florals,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/vintage-garden/backdrop-01,Vintage-style floral fabric backdrop;Vintage Garden;event decor;party rental
vintage-garden-decor-02,vintage-garden,wedding;bridal-shower;baby-shower;birthday;tea-party,floor-arrangement,Mismatched porcelain-look tea set,Mismatched porcelain-look tea set selected in the Vintage Garden palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#F6E4E8;#D8C8A8;#A9B99A;#7C8A6A;#FFF9F0,lace;china;aged brass;wood;soft florals,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/vintage-garden/floor-arrangement-01,Mismatched porcelain-look tea set;Vintage Garden;event decor;party rental
vintage-garden-decor-03,vintage-garden,wedding;bridal-shower;baby-shower;birthday;tea-party,lighting,Lace table overlay set,Lace table overlay set selected in the Vintage Garden palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#F6E4E8;#D8C8A8;#A9B99A;#7C8A6A;#FFF9F0,lace;china;aged brass;wood;soft florals,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/vintage-garden/lighting-01,Lace table overlay set;Vintage Garden;event decor;party rental
vintage-garden-decor-04,vintage-garden,wedding;bridal-shower;baby-shower;birthday;tea-party,table-setting,Aged-brass picture-frame table numbers,Aged-brass picture-frame table numbers selected in the Vintage Garden palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#F6E4E8;#D8C8A8;#A9B99A;#7C8A6A;#FFF9F0,lace;china;aged brass;wood;soft florals,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/vintage-garden/table-setting-01,Aged-brass picture-frame table numbers;Vintage Garden;event decor;party rental
vintage-garden-decor-05,vintage-garden,wedding;bridal-shower;baby-shower;birthday;tea-party,signage,Pastel garden floral centerpiece,Pastel garden floral centerpiece selected in the Vintage Garden palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#F6E4E8;#D8C8A8;#A9B99A;#7C8A6A;#FFF9F0,lace;china;aged brass;wood;soft florals,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/vintage-garden/signage-01,Pastel garden floral centerpiece;Vintage Garden;event decor;party rental
glam-gold-decor-01,glam-gold,birthday;engagement;wedding;anniversary;corporate-gala,backdrop,Gold shimmer-wall backdrop panels,Gold shimmer-wall backdrop panels selected in the Glam Gold palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#D4AF37;#F8F1E1;#111111;#7D1F3A;#FFFFFF,metallic acrylic;mirror;velvet;sequins;glass,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/glam-gold/backdrop-01,Gold shimmer-wall backdrop panels;Glam Gold;event decor;party rental
glam-gold-decor-02,glam-gold,birthday;engagement;wedding;anniversary;corporate-gala,floor-arrangement,Mirror-top cake plinth,Mirror-top cake plinth selected in the Glam Gold palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#D4AF37;#F8F1E1;#111111;#7D1F3A;#FFFFFF,metallic acrylic;mirror;velvet;sequins;glass,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/glam-gold/floor-arrangement-01,Mirror-top cake plinth;Glam Gold;event decor;party rental
glam-gold-decor-03,glam-gold,birthday;engagement;wedding;anniversary;corporate-gala,lighting,Gold metal hoop with cream florals,Gold metal hoop with cream florals selected in the Glam Gold palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#D4AF37;#F8F1E1;#111111;#7D1F3A;#FFFFFF,metallic acrylic;mirror;velvet;sequins;glass,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/glam-gold/lighting-01,Gold metal hoop with cream florals;Glam Gold;event decor;party rental
glam-gold-decor-04,glam-gold,birthday;engagement;wedding;anniversary;corporate-gala,table-setting,Black velvet table runner,Black velvet table runner selected in the Glam Gold palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#D4AF37;#F8F1E1;#111111;#7D1F3A;#FFFFFF,metallic acrylic;mirror;velvet;sequins;glass,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/glam-gold/table-setting-01,Black velvet table runner;Glam Gold;event decor;party rental
glam-gold-decor-05,glam-gold,birthday;engagement;wedding;anniversary;corporate-gala,signage,Battery-operated crystal-look table lamps,Battery-operated crystal-look table lamps selected in the Glam Gold palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#D4AF37;#F8F1E1;#111111;#7D1F3A;#FFFFFF,metallic acrylic;mirror;velvet;sequins;glass,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/glam-gold/signage-01,Battery-operated crystal-look table lamps;Glam Gold;event decor;party rental
pastel-dreamy-decor-01,pastel-dreamy,birthday;baby-shower;bridal-shower;engagement;graduation,backdrop,Pastel gradient balloon garland kit,Pastel gradient balloon garland kit selected in the Pastel Dreamy palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#F8C8DC;#CDB4F6;#BDE7F2;#FFF0B8;#FFFFFF,matte balloons;tulle;acrylic;soft fabric;paper,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/pastel-dreamy/backdrop-01,Pastel gradient balloon garland kit;Pastel Dreamy;event decor;party rental
pastel-dreamy-decor-02,pastel-dreamy,birthday;baby-shower;bridal-shower;engagement;graduation,floor-arrangement,White cloud-shaped foam-board props,White cloud-shaped foam-board props selected in the Pastel Dreamy palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#F8C8DC;#CDB4F6;#BDE7F2;#FFF0B8;#FFFFFF,matte balloons;tulle;acrylic;soft fabric;paper,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/pastel-dreamy/floor-arrangement-01,White cloud-shaped foam-board props;Pastel Dreamy;event decor;party rental
pastel-dreamy-decor-03,pastel-dreamy,birthday;baby-shower;bridal-shower;engagement;graduation,lighting,Lavender and peach table linen set,Lavender and peach table linen set selected in the Pastel Dreamy palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#F8C8DC;#CDB4F6;#BDE7F2;#FFF0B8;#FFFFFF,matte balloons;tulle;acrylic;soft fabric;paper,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/pastel-dreamy/lighting-01,Lavender and peach table linen set;Pastel Dreamy;event decor;party rental
pastel-dreamy-decor-04,pastel-dreamy,birthday;baby-shower;bridal-shower;engagement;graduation,table-setting,Clear plinths with pastel vinyl panels,Clear plinths with pastel vinyl panels selected in the Pastel Dreamy palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#F8C8DC;#CDB4F6;#BDE7F2;#FFF0B8;#FFFFFF,matte balloons;tulle;acrylic;soft fabric;paper,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/pastel-dreamy/table-setting-01,Clear plinths with pastel vinyl panels;Pastel Dreamy;event decor;party rental
pastel-dreamy-decor-05,pastel-dreamy,birthday;baby-shower;bridal-shower;engagement;graduation,signage,Soft-white curtain fairy lights,Soft-white curtain fairy lights selected in the Pastel Dreamy palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#F8C8DC;#CDB4F6;#BDE7F2;#FFF0B8;#FFFFFF,matte balloons;tulle;acrylic;soft fabric;paper,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/pastel-dreamy/signage-01,Soft-white curtain fairy lights;Pastel Dreamy;event decor;party rental
dark-moody-decor-01,dark-moody,birthday;wedding;anniversary;corporate;dinner-party,backdrop,Black velvet pipe-and-drape backdrop,Black velvet pipe-and-drape backdrop selected in the Dark Moody palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#121212;#3C1F2B;#5E4634;#7A6A58;#D0B58D,velvet;smoked glass;dark wood;brass;matte metal,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/dark-moody/backdrop-01,Black velvet pipe-and-drape backdrop;Dark Moody;event decor;party rental
dark-moody-decor-02,dark-moody,birthday;wedding;anniversary;corporate;dinner-party,floor-arrangement,Smoked-glass LED candleholders,Smoked-glass LED candleholders selected in the Dark Moody palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#121212;#3C1F2B;#5E4634;#7A6A58;#D0B58D,velvet;smoked glass;dark wood;brass;matte metal,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/dark-moody/floor-arrangement-01,Smoked-glass LED candleholders;Dark Moody;event decor;party rental
dark-moody-decor-03,dark-moody,birthday;wedding;anniversary;corporate;dinner-party,lighting,Deep plum table runner,Deep plum table runner selected in the Dark Moody palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#121212;#3C1F2B;#5E4634;#7A6A58;#D0B58D,velvet;smoked glass;dark wood;brass;matte metal,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/dark-moody/lighting-01,Deep plum table runner;Dark Moody;event decor;party rental
dark-moody-decor-04,dark-moody,birthday;wedding;anniversary;corporate;dinner-party,table-setting,Dark foliage and burgundy floral arrangement,Dark foliage and burgundy floral arrangement selected in the Dark Moody palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#121212;#3C1F2B;#5E4634;#7A6A58;#D0B58D,velvet;smoked glass;dark wood;brass;matte metal,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/dark-moody/table-setting-01,Dark foliage and burgundy floral arrangement;Dark Moody;event decor;party rental
dark-moody-decor-05,dark-moody,birthday;wedding;anniversary;corporate;dinner-party,signage,Brass-tone tapered centerpiece stands,Brass-tone tapered centerpiece stands selected in the Dark Moody palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#121212;#3C1F2B;#5E4634;#7A6A58;#D0B58D,velvet;smoked glass;dark wood;brass;matte metal,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/dark-moody/signage-01,Brass-tone tapered centerpiece stands;Dark Moody;event decor;party rental
whimsical-kids-decor-01,whimsical-kids,kids-birthday;school-event;family-party,backdrop,Rounded rainbow foam-board backdrop,Rounded rainbow foam-board backdrop selected in the Whimsical Kids palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#FFB3C6;#9AD0F5;#FFE08A;#A7E3A1;#FFFFFF,foam board;matte balloons;washable fabric;paper;acrylic,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/whimsical-kids/backdrop-01,Rounded rainbow foam-board backdrop;Whimsical Kids;event decor;party rental
whimsical-kids-decor-02,whimsical-kids,kids-birthday;school-event;family-party,floor-arrangement,Pastel balloon garland with large balloons,Pastel balloon garland with large balloons selected in the Whimsical Kids palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#FFB3C6;#9AD0F5;#FFE08A;#A7E3A1;#FFFFFF,foam board;matte balloons;washable fabric;paper;acrylic,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/whimsical-kids/floor-arrangement-01,Pastel balloon garland with large balloons;Whimsical Kids;event decor;party rental
