asset_id,related_id,asset_type,glb_file,usdz_file,units,default_dimensions_cm,polygon_budget,texture_guideline,anchor_type,interaction,license_requirement,production_status,fallback
cake-set-whimsical-kids,whimsical-kids,cake-variant-set,assets/cakes/whimsical-kids.glb,assets/cakes/whimsical-kids.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-beach-coastal,beach-coastal,decor-scene-bundle,assets/scenes/beach-coastal.glb,assets/scenes/beach-coastal.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-beach-coastal,beach-coastal,cake-variant-set,assets/cakes/beach-coastal.glb,assets/cakes/beach-coastal.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-industrial,industrial,decor-scene-bundle,assets/scenes/industrial.glb,assets/scenes/industrial.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-industrial,industrial,cake-variant-set,assets/cakes/industrial.glb,assets/cakes/industrial.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-floral-romantic,floral-romantic,decor-scene-bundle,assets/scenes/floral-romantic.glb,assets/scenes/floral-romantic.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-floral-romantic,floral-romantic,cake-variant-set,assets/cakes/floral-romantic.glb,assets/cakes/floral-romantic.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-retro-70s,retro-70s,decor-scene-bundle,assets/scenes/retro-70s.glb,assets/scenes/retro-70s.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-retro-70s,retro-70s,cake-variant-set,assets/cakes/retro-70s.glb,assets/cakes/retro-70s.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-winter-wonderland,winter-wonderland,decor-scene-bundle,assets/scenes/winter-wonderland.glb,assets/scenes/winter-wonderland.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-winter-wonderland,winter-wonderland,cake-variant-set,assets/cakes/winter-wonderland.glb,assets/cakes/winter-wonderland.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-south-asian-mehndi,south-asian-mehndi,decor-scene-bundle,assets/scenes/south-asian-mehndi.glb,assets/scenes/south-asian-mehndi.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-south-asian-mehndi,south-asian-mehndi,cake-variant-set,assets/cakes/south-asian-mehndi.glb,assets/cakes/south-asian-mehndi.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-south-asian-wedding,south-asian-wedding,decor-scene-bundle,assets/scenes/south-asian-wedding.glb,assets/scenes/south-asian-wedding.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-south-asian-wedding,south-asian-wedding,cake-variant-set,assets/cakes/south-asian-wedding.glb,assets/cakes/south-asian-wedding.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-arabian-majlis,arabian-majlis,decor-scene-bundle,assets/scenes/arabian-majlis.glb,assets/scenes/arabian-majlis.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-arabian-majlis,arabian-majlis,cake-variant-set,assets/cakes/arabian-majlis.glb,assets/cakes/arabian-majlis.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-sports-hobby,sports-hobby,decor-scene-bundle,assets/scenes/sports-hobby.glb,assets/scenes/sports-hobby.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-sports-hobby,sports-hobby,cake-variant-set,assets/cakes/sports-hobby.glb,assets/cakes/sports-hobby.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-rainbow-bright-pop,rainbow-bright-pop,decor-scene-bundle,assets/scenes/rainbow-bright-pop.glb,assets/scenes/rainbow-bright-pop.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-rainbow-bright-pop,rainbow-bright-pop,cake-variant-set,assets/cakes/rainbow-bright-pop.glb,assets/cakes/rainbow-bright-pop.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-farmhouse,farmhouse,decor-scene-bundle,assets/scenes/farmhouse.glb,assets/scenes/farmhouse.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-farmhouse,farmhouse,cake-variant-set,assets/cakes/farmhouse.glb,assets/cakes/farmhouse.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-art-deco,art-deco,decor-scene-bundle,assets/scenes/art-deco.glb,assets/scenes/art-deco.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-art-deco,art-deco,cake-variant-set,assets/cakes/art-deco.glb,assets/cakes/art-deco.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-enchanted-forest,enchanted-forest,decor-scene-bundle,assets/scenes/enchanted-forest.glb,assets/scenes/enchanted-forest.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-enchanted-forest,enchanted-forest,cake-variant-set,assets/cakes/enchanted-forest.glb,assets/cakes/enchanted-forest.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-celestial-night,celestial-night,decor-scene-bundle,assets/scenes/celestial-night.glb,assets/scenes/celestial-night.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-celestial-night,celestial-night,cake-variant-set,assets/cakes/celestial-night.glb,assets/cakes/celestial-night.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-corporate-brand,corporate-brand,decor-scene-bundle,assets/scenes/corporate-brand.glb,assets/scenes/corporate-brand.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-corporate-brand,corporate-brand,cake-variant-set,assets/cakes/corporate-brand.glb,assets/cakes/corporate-brand.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-baby-safari,baby-safari,decor-scene-bundle,assets/scenes/baby-safari.glb,assets/scenes/baby-safari.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-baby-safari,baby-safari,cake-variant-set,assets/cakes/baby-safari.glb,assets/cakes/baby-safari.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
scene-candy-pop,candy-pop,decor-scene-bundle,assets/scenes/candy-pop.glb,assets/scenes/candy-pop.usdz,meters,300x220x120,100000 max for full scene; provide lower LOD,"PBR, 2K maximum per atlas, baked lightmaps optional",floor-and-wall,move;rotate;scale-with-safe-limits;color-variant,original or commercially licensed for redistribution,required-to-create,interactive 3D orbit viewer with poster image
cake-set-candy-pop,candy-pop,cake-variant-set,assets/cakes/candy-pop.glb,assets/cakes/candy-pop.usdz,meters,35x35x45,40000 max per cake; provide lower LOD,"PBR, 2K maximum, accurate roughness for buttercream/fondant",tabletop,rotate;color-variant;tier-variant;topper-variant,original bakery design or licensed asset,required-to-create,interactive 3D orbit viewer with transparent-background poster
