cake_design_id,theme_id,event_types,style_name,shape,suggested_tiers,frosting_or_covering,palette_hex,design_elements,topper_guidance,finish,serving_range,price_tier,allergen_notes,structural_notes,ar_asset_key
tropical-cake-02,tropical,birthday;wedding;bridal-shower;corporate;summer-party,Tropical fruit cake,round,1-2,lime buttercream,#0F6B4F;#58A65C;#FF8A47;#F7C948;#F7F2E8,lime buttercream;edible pineapple and citrus decorations,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/tropical/design-02
tropical-cake-03,tropical,birthday;wedding;bridal-shower;corporate;summer-party,Coral hibiscus cake,round,1-3,coral ombre buttercream,#0F6B4F;#58A65C;#FF8A47;#F7C948;#F7F2E8,coral ombre buttercream;sugar hibiscus;gold leaf specks,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/tropical/design-03
vintage-garden-cake-01,vintage-garden,wedding;bridal-shower;baby-shower;birthday;tea-party,Vintage piped rose cake,round,1-3,pastel pink buttercream,#F6E4E8;#D8C8A8;#A9B99A;#7C8A6A;#FFF9F0,pastel pink buttercream;Lambeth piping;sugar roses,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/vintage-garden/design-01
vintage-garden-cake-02,vintage-garden,wedding;bridal-shower;baby-shower;birthday;tea-party,Tea-party floral cake,round,1-2,ivory buttercream,#F6E4E8;#D8C8A8;#A9B99A;#7C8A6A;#FFF9F0,ivory buttercream;painted meadow flowers;porcelain-look topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/vintage-garden/design-02
vintage-garden-cake-03,vintage-garden,wedding;bridal-shower;baby-shower;birthday;tea-party,Lace cameo cake,oval,1-3,pale sage fondant,#F6E4E8;#D8C8A8;#A9B99A;#7C8A6A;#FFF9F0,pale sage fondant;edible lace;small cameo plaque,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/vintage-garden/design-03
glam-gold-cake-01,glam-gold,birthday;engagement;wedding;anniversary;corporate-gala,Black and gold fault-line cake,round,1-3,black buttercream,#D4AF37;#F8F1E1;#111111;#7D1F3A;#FFFFFF,black buttercream;gold fault line;gold acrylic topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/glam-gold/design-01
glam-gold-cake-02,glam-gold,birthday;engagement;wedding;anniversary;corporate-gala,Ivory gold-drip cake,round,1-2,ivory buttercream,#D4AF37;#F8F1E1;#111111;#7D1F3A;#FFFFFF,ivory buttercream;metallic gold drip;sugar spheres,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/glam-gold/design-02
glam-gold-cake-03,glam-gold,birthday;engagement;wedding;anniversary;corporate-gala,Burgundy glam tier cake,round,1-3,burgundy fondant,#D4AF37;#F8F1E1;#111111;#7D1F3A;#FFFFFF,burgundy fondant;gold separators;edible gold leaf,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/glam-gold/design-03
pastel-dreamy-cake-01,pastel-dreamy,birthday;baby-shower;bridal-shower;engagement;graduation,Pastel cloud cake,round,1-3,sky-blue buttercream,#F8C8DC;#CDB4F6;#BDE7F2;#FFF0B8;#FFFFFF,sky-blue buttercream;white piped clouds;pastel stars,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/pastel-dreamy/design-01
pastel-dreamy-cake-02,pastel-dreamy,birthday;baby-shower;bridal-shower;engagement;graduation,Lavender bow cake,heart,1-2,lavender buttercream,#F8C8DC;#CDB4F6;#BDE7F2;#FFF0B8;#FFFFFF,lavender buttercream;cream piping;edible bow,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/pastel-dreamy/design-02
pastel-dreamy-cake-03,pastel-dreamy,birthday;baby-shower;bridal-shower;engagement;graduation,Peach ombre sphere cake,round,1-3,peach-to-pink ombre,#F8C8DC;#CDB4F6;#BDE7F2;#FFF0B8;#FFFFFF,peach-to-pink ombre;sugar spheres;white topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/pastel-dreamy/design-03
dark-moody-cake-01,dark-moody,birthday;wedding;anniversary;corporate;dinner-party,Charcoal texture cake,round,1-3,charcoal buttercream,#121212;#3C1F2B;#5E4634;#7A6A58;#D0B58D,charcoal buttercream;palette-knife texture;brass-tone leaf,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/dark-moody/design-01
dark-moody-cake-02,dark-moody,birthday;wedding;anniversary;corporate;dinner-party,Plum floral cake,round,1-2,deep plum buttercream,#121212;#3C1F2B;#5E4634;#7A6A58;#D0B58D,deep plum buttercream;dark sugar flowers;gold edge,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/dark-moody/design-02
dark-moody-cake-03,dark-moody,birthday;wedding;anniversary;corporate;dinner-party,Cocoa stone cake,square,1-3,dark cocoa ganache,#121212;#3C1F2B;#5E4634;#7A6A58;#D0B58D,dark cocoa ganache;stone texture;minimal topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/dark-moody/design-03
whimsical-kids-cake-01,whimsical-kids,kids-birthday;school-event;family-party,Storybook rainbow cake,round,1-3,white buttercream,#FFB3C6;#9AD0F5;#FFE08A;#A7E3A1;#FFFFFF,white buttercream;soft rainbow arches;name plaque,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/whimsical-kids/design-01
whimsical-kids-cake-02,whimsical-kids,kids-birthday;school-event;family-party,Friendly animal cake,round,1-2,pastel buttercream,#FFB3C6;#9AD0F5;#FFE08A;#A7E3A1;#FFFFFF,pastel buttercream;simple fondant animal faces,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/whimsical-kids/design-02
whimsical-kids-cake-03,whimsical-kids,kids-birthday;school-event;family-party,Confetti star cake,round,1-3,yellow buttercream,#FFB3C6;#9AD0F5;#FFE08A;#A7E3A1;#FFFFFF,yellow buttercream;edible stars;number topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/whimsical-kids/design-03
beach-coastal-cake-01,beach-coastal,wedding;birthday;engagement;bridal-shower;summer-party,Blue watercolor wave cake,round,1-3,white buttercream,#EAF6FA;#8EC5D6;#2F6F89;#E8D5B5;#FFFFFF,white buttercream;blue watercolor;wave texture,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/beach-coastal/design-01
beach-coastal-cake-02,beach-coastal,wedding;birthday;engagement;bridal-shower;summer-party,Sea-glass tier cake,round,1-2,pale aqua fondant,#EAF6FA;#8EC5D6;#2F6F89;#E8D5B5;#FFFFFF,pale aqua fondant;translucent sugar shards,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/beach-coastal/design-02
beach-coastal-cake-03,beach-coastal,wedding;birthday;engagement;bridal-shower;summer-party,Sand-and-shell cake,round,1-3,ivory buttercream,#EAF6FA;#8EC5D6;#2F6F89;#E8D5B5;#FFFFFF,ivory buttercream;biscuit-crumb sand;food-safe sugar shells,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/beach-coastal/design-03
industrial-cake-01,industrial,corporate;birthday;wedding;product-launch;graduation,Concrete copper cake,round,1-3,grey buttercream,#353535;#77736E;#B65E3C;#D8C8B6;#F4F1EA,grey buttercream;concrete texture;copper leaf,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/industrial/design-01
industrial-cake-02,industrial,corporate;birthday;wedding;product-launch;graduation,Black grid cake,square,1-2,white fondant,#353535;#77736E;#B65E3C;#D8C8B6;#F4F1EA,white fondant;black grid lines;metal-look topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/industrial/design-02
industrial-cake-03,industrial,corporate;birthday;wedding;product-launch;graduation,Brick-tone abstract cake,round,1-3,rust and cream palette-knife buttercream,#353535;#77736E;#B65E3C;#D8C8B6;#F4F1EA,rust and cream palette-knife buttercream;dark chocolate sails,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/industrial/design-03
floral-romantic-cake-01,floral-romantic,wedding;engagement;anniversary;bridal-shower;birthday,Cascading rose tier cake,round,1-3,ivory buttercream,#F3D7DE;#E8C7B4;#A8B99A;#6E8061;#FFFDF8,ivory buttercream;blush sugar roses;green leaves,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/floral-romantic/design-01
floral-romantic-cake-02,floral-romantic,wedding;engagement;anniversary;bridal-shower;birthday,Pressed meadow cake,round,1-2,white buttercream,#F3D7DE;#E8C7B4;#A8B99A;#6E8061;#FFFDF8,white buttercream;edible flower pattern,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/floral-romantic/design-02
floral-romantic-cake-03,floral-romantic,wedding;engagement;anniversary;bridal-shower;birthday,Romantic ruffle cake,round,1-3,blush fondant ruffles,#F3D7DE;#E8C7B4;#A8B99A;#6E8061;#FFFDF8,blush fondant ruffles;single floral cluster,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/floral-romantic/design-03
retro-70s-cake-01,retro-70s,birthday;corporate;graduation;anniversary;themed-party,Groovy wave cake,round,1-3,orange and cream buttercream waves,#F28C28;#D94F30;#E8C547;#6B7A3A;#FFF2D8,orange and cream buttercream waves,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/retro-70s/design-01
retro-70s-cake-02,retro-70s,birthday;corporate;graduation;anniversary;themed-party,Retro daisy cake,round,1-2,mustard buttercream,#F28C28;#D94F30;#E8C547;#6B7A3A;#FFF2D8,mustard buttercream;white piped daisies,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/retro-70s/design-02
retro-70s-cake-03,retro-70s,birthday;corporate;graduation;anniversary;themed-party,Checkerboard heart cake,heart,1-3,cream buttercream,#F28C28;#D94F30;#E8C547;#6B7A3A;#FFF2D8,cream buttercream;orange checkerboard;cherry topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/retro-70s/design-03
winter-wonderland-cake-01,winter-wonderland,wedding;birthday;corporate;holiday-party;engagement,Snowflake tier cake,round,1-3,white fondant,#FFFFFF;#DCECF5;#A9C5D8;#BFC4CC;#244A66,white fondant;embossed snowflakes;silver ribbon,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/winter-wonderland/design-01
winter-wonderland-cake-02,winter-wonderland,wedding;birthday;corporate;holiday-party;engagement,Icy shard cake,round,1-2,pale blue buttercream,#FFFFFF;#DCECF5;#A9C5D8;#BFC4CC;#244A66,pale blue buttercream;clear sugar shards,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/winter-wonderland/design-02
winter-wonderland-cake-03,winter-wonderland,wedding;birthday;corporate;holiday-party;engagement,Frosted forest cake,round,1-3,white buttercream,#FFFFFF;#DCECF5;#A9C5D8;#BFC4CC;#244A66,white buttercream;white chocolate trees;powdered sugar effect,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/winter-wonderland/design-03
south-asian-mehndi-cake-01,south-asian-mehndi,mehndi;mayun;engagement;wedding;birthday,Henna-piped mehndi cake,round,1-3,green buttercream,#F6B51B;#F26B21;#D62D58;#2F8F5B;#7B3FA1,green buttercream;fine gold piping;marigold sugar flowers,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/south-asian-mehndi/design-01
south-asian-mehndi-cake-02,south-asian-mehndi,mehndi;mayun;engagement;wedding;birthday,Phulkari-color cake,round,1-2,bright fondant panels,#F6B51B;#F26B21;#D62D58;#2F8F5B;#7B3FA1,bright fondant panels;embroidered-look pattern,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/south-asian-mehndi/design-02
south-asian-mehndi-cake-03,south-asian-mehndi,mehndi;mayun;engagement;wedding;birthday,Dholki celebration cake,round,1-3,yellow buttercream,#F6B51B;#F26B21;#D62D58;#2F8F5B;#7B3FA1,yellow buttercream;pink and orange piping;festive topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/south-asian-mehndi/design-03
south-asian-wedding-cake-01,south-asian-wedding,wedding;nikah;walima;engagement;reception,Maroon gold-tracery cake,round,1-3,maroon fondant,#7A1725;#D7B56D;#FFF4E0;#37543B;#D7A6A9,maroon fondant;gold royal-icing tracery;ivory flowers,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/south-asian-wedding/design-01
south-asian-wedding-cake-02,south-asian-wedding,wedding;nikah;walima;engagement;reception,Ivory jharokha-detail cake,round,1-2,ivory fondant,#7A1725;#D7B56D;#FFF4E0;#37543B;#D7A6A9,ivory fondant;architectural piping;gold separators,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/south-asian-wedding/design-02
south-asian-wedding-cake-03,south-asian-wedding,wedding;nikah;walima;engagement;reception,Walima blush tier cake,round,1-3,blush buttercream,#7A1725;#D7B56D;#FFF4E0;#37543B;#D7A6A9,blush buttercream;white sugar flowers;subtle gold leaf,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/south-asian-wedding/design-03
arabian-majlis-cake-01,arabian-majlis,engagement;wedding;family-gathering;corporate;ramadan-iftar,Emerald lattice cake,round,1-3,emerald fondant,#123C36;#C79A4A;#7A263A;#E7D7B8;#1F1A17,emerald fondant;gold geometric lattice;date-palm topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/arabian-majlis/design-01
arabian-majlis-cake-02,arabian-majlis,engagement;wedding;family-gathering;corporate;ramadan-iftar,Arch-motif cake,round,1-2,ivory buttercream,#123C36;#C79A4A;#7A263A;#E7D7B8;#1F1A17,ivory buttercream;burgundy arches;gold line,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/arabian-majlis/design-02
