theme_id,name,event_types,keywords,visual_cues,palette_hex,materials,mood,best_space_fit,lighting,decor_summary,cake_summary,avoid
industrial,Industrial,corporate;birthday;wedding;product-launch;graduation,brick;metal;concrete;warehouse;urban,exposed brick;concrete floors;ductwork;large windows;black frames,#353535;#77736E;#B65E3C;#D8C8B6;#F4F1EA,black steel;wood;concrete-look board;leather;glass,"urban, practical, bold","warehouse, loft, studio, office event space",warm Edison-style LEDs and focused spots,Keep venue architecture visible and add clean metal-and-wood elements.,"Concrete texture, metallic accents, angular details.","covering all brickwork, exposed unsafe cables, excessive rust effects near food"
floral-romantic,Floral Romantic,wedding;engagement;anniversary;bridal-shower;birthday,roses;soft;romantic;garden;blush,soft curtains;garden access;light walls;ornate details;daylight,#F3D7DE;#E8C7B4;#A8B99A;#6E8061;#FFFDF8,silk-look florals;chiffon;glass;linen;light wood,"romantic, gentle, polished","garden, ballroom, conservatory, home",soft warm-white wash,"Distribute florals across backdrop, tables, and cake without blocking sightlines.",Blush or ivory tiers with cascading sugar flowers.,"strong artificial fragrance near food, unstable tall florals, too many flower species"
retro-70s,Retro 70s,birthday;corporate;graduation;anniversary;themed-party,retro;groovy;orange;checkerboard;disco,wood paneling;warm colors;open dance floor;bold shapes;vintage furniture,#F28C28;#D94F30;#E8C547;#6B7A3A;#FFF2D8,vinyl;acrylic;velvet;paper;mirror tiles,"energetic, nostalgic, playful","studio, lounge, cafe, party hall",warm colored wash with static mirror-ball reflections,"Use bold curves, a controlled warm palette, and one dance-floor focal point.","Retro piping, daisies, checkerboard, or wavy color bands.","strobe lighting without warnings, mixed decades, excessive tiny mirror pieces"
winter-wonderland,Winter Wonderland,wedding;birthday;corporate;holiday-party;engagement,winter;white;ice;snowflake;silver,cool lighting;large windows;white walls;high ceiling;evening setting,#FFFFFF;#DCECF5;#A9C5D8;#BFC4CC;#244A66,acrylic;white fabric;frosted glass;mirror;paper,"crisp, magical, elegant","ballroom, hall, studio, winter garden",cool white with soft blue accents,"Create depth with white layers and transparent surfaces, not loose artificial snow.","White tiers, snowflake texture, icy blue shading, clear sugar shards.","loose glitter or artificial snow near food, slippery floor coverings, cold blue light on faces"
south-asian-mehndi,South Asian Mehndi,mehndi;mayun;engagement;wedding;birthday,marigold;colorful;traditional;dholki;bright,courtyard;bright fabrics;floor seating;warm walls;outdoor canopy,#F6B51B;#F26B21;#D62D58;#2F8F5B;#7B3FA1,printed fabric;marigold-look garlands;wood;brass-look metal;embroidered cushions,"joyful, communal, vibrant","courtyard, lawn, family hall, marquee",warm festoon lights with colorful accent wash,"Combine floral garlands, colorful textiles, and low seating while protecting walkways.","Bright color blocking, henna-inspired piping, marigold-look sugar flowers.","mixing sacred/religious symbols as generic decor, blocking family seating, open flames near fabric"
south-asian-wedding,South Asian Wedding Elegance,wedding;nikah;walima;engagement;reception,regal;floral;maroon;ivory;gold,large stage;high ceiling;formal seating;warm lighting;ornate architecture,#7A1725;#D7B56D;#FFF4E0;#37543B;#D7A6A9,velvet;carved-look panels;brass-look metal;silk-look florals;chiffon,"regal, formal, celebratory","banquet hall, marquee, hotel ballroom, formal lawn",warm key lighting with even stage illumination,Build a centered stage with formal symmetry and coordinated guest tables.,"Tall tiered cake with jewel tones, gold tracery, and formal florals.","unstable heavy stage pieces, excessive reflective gold, culturally inappropriate motifs"
arabian-majlis,Arabian Majlis,engagement;wedding;family-gathering;corporate;ramadan-iftar,majlis;lantern;geometric;plush;warm,low seating;arches;warm walls;courtyard;patterned rugs,#123C36;#C79A4A;#7A263A;#E7D7B8;#1F1A17,velvet;patterned textile;brass-look metal;wood;frosted glass,"welcoming, warm, refined","courtyard, lounge, tented venue, family hall",warm lantern-style LED light,"Use low seating, geometric patterns, and warm light with generous serving access.",Jewel-tone cake with geometric lattice or arch motifs.,"genericizing religious symbols, live flames near drapes, overcrowded floor seating"
sports-hobby,Sports & Hobby,birthday;kids-birthday;corporate;team-celebration;graduation,team;hobby;personalized;activity;graphic,open floor;club room;school hall;display shelves;team colors,#FFFFFF;#1E4E8C;#D62828;#2A9D5B;#222222,printed board;acrylic;fabric;foam;rubber mat,"personal, active, celebratory","hall, clubhouse, home, school venue",bright even light,Select one specific sport or hobby and repeat its colors and shapes consistently.,"Team-color cake, jersey/name detail, or simple equipment-inspired topper.","unlicensed team logos for commercial use, real dirty equipment near food, trip hazards"
rainbow-bright-pop,Rainbow Bright Pop,birthday;kids-birthday;graduation;pride-event;corporate,rainbow;bold;pop;color-block;cheerful,white or neutral walls;bright daylight;open photo wall;simple furniture;family venue,#F94144;#F8961E;#F9C74F;#43AA8B;#577590;#9B5DE5,matte balloons;acrylic;paper;fabric;foam board,"bold, cheerful, inclusive","studio, home, school hall, corporate social space",neutral white so colors stay accurate,Use clean color blocks and repeat the same rainbow order across elements.,"Color-blocked layers, rainbow arches, confetti, bright piping.","muddy mixed shades, flashing lights, tiny confetti near food"
farmhouse,Farmhouse,birthday;baby-shower;wedding;family-party;harvest-event,farmhouse;gingham;wood;simple;country,wood furniture;garden;white walls;porch;natural daylight,#F7F3E8;#C8B99C;#6E7F5B;#A64B3C;#3B3A32,wood;cotton;enamel-look metal;burlap;ceramic,"warm, familiar, practical","garden, home, barn-style venue, porch",warm daylight and simple festoon lights,Use clean country textures with one checked or botanical pattern.,"Simple buttercream, fruit, gingham accents, or small farm-inspired topper.","dirty real hay near food, excessive animal props, rustic clutter"
art-deco,Art Deco,wedding;birthday;corporate-gala;anniversary;engagement,deco;geometric;black-gold;1920s;symmetry,formal hall;dark walls;mirrors;geometric architecture;evening lighting,#0B0B0B;#D4AF37;#F5E9D4;#0E5A4F;#7A1734,black acrylic;gold metal;velvet;mirror;glass,"stylish, formal, theatrical","hotel, ballroom, lounge, corporate venue",warm focused light with geometric gobos,Keep fan and stepped motifs symmetrical and repeat them across signage and cake.,"Sharp black, ivory, gold, and emerald geometric patterns.","mixing unrelated vintage eras, excessive feathers, unreadable ornate fonts"
enchanted-forest,Enchanted Forest,wedding;birthday;kids-birthday;engagement;themed-party,forest;moss;fairy-lights;woodland;green,garden;trees;dark green walls;wood floors;low warm light,#173F2A;#557A46;#8A6B45;#D8C7A0;#F7F1DF,artificial moss;wood;greenery;warm LEDs;stone-look board,"immersive, natural, storybook","garden, woodland venue, dark hall, studio",warm micro LEDs and soft green uplight,Create a woodland feeling with layered greenery and safe illuminated paths.,"Bark texture, moss-look crumbs, mushrooms or delicate woodland florals.","real foraged plants near food, loose moss, dark unsafe walkways"
celestial-night,Celestial Night,birthday;engagement;wedding;graduation;corporate,stars;moon;navy;constellation;night,dark room;high ceiling;evening event;black curtains;open photo wall,#0D1B3D;#263B73;#C7A84A;#E8E2D1;#8D7BBE,navy fabric;gold acrylic;micro LEDs;mirror;matte paper,"dreamy, sophisticated, atmospheric","evening hall, rooftop, studio, bedroom party",navy wash with warm pinpoint lights,Use stars and moon shapes at different scales while keeping walkways bright.,"Navy ombre, gold constellations, moon or star toppers.","laser lighting aimed at eyes, unreadable dark signage, too many metallic colors"
corporate-brand,Corporate Brand Showcase,corporate;product-launch;conference;store-opening;team-event,brand;logo;professional;modular;clean,office;conference hall;stage;LED screen;reception area,#FFFFFF;#1F2937;#2563EB;#E5E7EB;#111827,printed board;acrylic;modular metal;fabric;LED display,"professional, clear, brand-led","office, conference center, showroom, hotel",neutral brand-accurate light,Use the approved brand palette and keep logos readable in photos and video.,"Clean branded colors, edible logo plaque, product-shape accents only when practical.","distorted logos, unapproved brand colors, confidential product details"
baby-safari,Baby Safari,baby-shower;first-birthday;kids-birthday;gender-neutral-shower,safari;baby;animals;green;neutral,light room;greenery;child-friendly floor;cream walls;daylight,#DDE7C7;#AFC58B;#D9B38C;#F4E6CF;#6B7A4A,foam board;washable fabric;matte balloons;wood;paper,"gentle, playful, gender-neutral","home, studio, cafe, garden",soft daylight,"Use friendly illustrated animals, rounded greenery, and neutral natural colors.",Soft green or beige cake with simple baby-animal toppers.,"real animal hides, sharp jungle props, small loose parts around toddlers"
candy-pop,Candy Pop,kids-birthday;birthday;school-event;product-launch,candy;pink;stripe;bright;sweet,white room;mall venue;bright studio;open photo wall;child-height tables,#FF5FA2;#7ED6FF;#FFE66D;#B8F2A1;#FFFFFF,foam board;acrylic;matte balloons;paper;washable vinyl,"sweet, energetic, graphic","studio, cafe, home, mall event space",bright neutral light,"Use oversized candy shapes as graphics, with all food clearly separated and labeled.","Striped buttercream, candy colors, lollipop-look toppers using food-safe materials.","unwrapped real candy as floor decor, choking hazards, overloading cake with hard sweets"
