assignment_id,reviewer_slot,scenario_id,event_type,venue_type,guest_count,room_length_m,room_width_m,budget_pkr,age_group,time_of_day,preferred_color,preferred_style,current_theme_label,current_cake_label,current_decor_label,current_layout_label,expert_theme_label,expert_cake_label,expert_decor_label,expert_layout_label,expert_confidence,expert_role,expert_id,review_decision,comments,reviewed_at_utc
BSAR0458-R1,1,BSAR0458,graduation,restaurant,55,10.7,8.3,106000,teenager,day,blue,minimal,modern_minimal,two_tier_floral,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0458-R2,2,BSAR0458,graduation,restaurant,55,10.7,8.3,106000,teenager,day,blue,minimal,modern_minimal,two_tier_floral,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0524-R1,1,BSAR0524,baby_shower,hall,37,9,5.9,193000,adult,day,white,minimal,modern_minimal,two_tier_round,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0524-R2,2,BSAR0524,baby_shower,hall,37,9,5.9,193000,adult,day,white,minimal,modern_minimal,two_tier_round,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0533-R1,1,BSAR0533,anniversary,home,118,13.3,9.5,323000,adult,night,blue,minimal,modern_minimal,two_tier_floral,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0533-R2,2,BSAR0533,anniversary,home,118,13.3,9.5,323000,adult,night,blue,minimal,modern_minimal,two_tier_floral,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0549-R1,1,BSAR0549,anniversary,home,90,10.8,9.6,219000,mixed,day,white,elegant,modern_minimal,two_tier_floral,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0549-R2,2,BSAR0549,anniversary,home,90,10.8,9.6,219000,mixed,day,white,elegant,modern_minimal,two_tier_floral,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0018-R1,1,BSAR0018,wedding,hall,45,12.2,7.2,110000,adult,day,red,elegant,elegant_gold,two_tier_round,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0018-R2,2,BSAR0018,wedding,hall,45,12.2,7.2,110000,adult,day,red,elegant,elegant_gold,two_tier_round,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0022-R1,1,BSAR0022,graduation,outdoor,9,5.8,5,41000,adult,night,gold,elegant,elegant_gold,single_tier_round,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0022-R2,2,BSAR0022,graduation,outdoor,9,5.8,5,41000,adult,night,gold,elegant,elegant_gold,single_tier_round,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0046-R1,1,BSAR0046,graduation,hall,38,10.3,8.1,183000,teenager,night,white,elegant,elegant_gold,two_tier_round,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0046-R2,2,BSAR0046,graduation,hall,38,10.3,8.1,183000,teenager,night,white,elegant,elegant_gold,two_tier_round,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0049-R1,1,BSAR0049,anniversary,restaurant,250,19.9,15.6,2243000,adult,night,gold,elegant,elegant_gold,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0049-R2,2,BSAR0049,anniversary,restaurant,250,19.9,15.6,2243000,adult,night,gold,elegant,elegant_gold,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0055-R1,1,BSAR0055,baby_shower,hall,78,14.8,8.1,431000,adult,night,white,elegant,elegant_gold,two_tier_round,flower_wall,two_side_tables,,,,,,,,,,
BSAR0055-R2,2,BSAR0055,baby_shower,hall,78,14.8,8.1,431000,adult,night,white,elegant,elegant_gold,two_tier_round,flower_wall,two_side_tables,,,,,,,,,,
BSAR0102-R1,1,BSAR0102,wedding,outdoor,15,6.9,5.6,70000,mixed,night,purple,traditional,elegant_gold,single_tier_square,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0102-R2,2,BSAR0102,wedding,outdoor,15,6.9,5.6,70000,mixed,night,purple,traditional,elegant_gold,single_tier_square,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0141-R1,1,BSAR0141,wedding,home,200,15.1,10.7,765000,adult,night,purple,elegant,elegant_gold,three_tier_luxury,flower_wall,two_side_tables,,,,,,,,,,
BSAR0141-R2,2,BSAR0141,wedding,home,200,15.1,10.7,765000,adult,night,purple,elegant,elegant_gold,three_tier_luxury,flower_wall,two_side_tables,,,,,,,,,,
BSAR0155-R1,1,BSAR0155,wedding,home,250,20.1,12.4,675000,adult,night,gold,elegant,elegant_gold,three_tier_luxury,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0155-R2,2,BSAR0155,wedding,home,250,20.1,12.4,675000,adult,night,gold,elegant,elegant_gold,three_tier_luxury,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0171-R1,1,BSAR0171,anniversary,hall,10,5.8,4.6,25000,adult,night,white,traditional,elegant_gold,single_tier_round,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0171-R2,2,BSAR0171,anniversary,hall,10,5.8,4.6,25000,adult,night,white,traditional,elegant_gold,single_tier_round,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0199-R1,1,BSAR0199,baby_shower,restaurant,42,9.7,5.4,95000,adult,night,purple,minimal,elegant_gold,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0199-R2,2,BSAR0199,baby_shower,restaurant,42,9.7,5.4,95000,adult,night,purple,minimal,elegant_gold,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0206-R1,1,BSAR0206,birthday,outdoor,118,17.8,13.5,437000,child,night,mixed,elegant,elegant_gold,two_tier_floral,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0206-R2,2,BSAR0206,birthday,outdoor,118,17.8,13.5,437000,child,night,mixed,elegant,elegant_gold,two_tier_floral,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0219-R1,1,BSAR0219,baby_shower,home,13,7,4,48000,adult,night,white,minimal,elegant_gold,single_tier_round,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0219-R2,2,BSAR0219,baby_shower,home,13,7,4,48000,adult,night,white,minimal,elegant_gold,single_tier_round,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0271-R1,1,BSAR0271,anniversary,hall,19,8.3,5.6,36000,mixed,night,white,elegant,elegant_gold,single_tier_square,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0271-R2,2,BSAR0271,anniversary,hall,19,8.3,5.6,36000,mixed,night,white,elegant,elegant_gold,single_tier_square,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0293-R1,1,BSAR0293,wedding,home,69,11.7,6.4,116000,adult,night,gold,minimal,elegant_gold,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0293-R2,2,BSAR0293,wedding,home,69,11.7,6.4,116000,adult,night,gold,minimal,elegant_gold,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0300-R1,1,BSAR0300,birthday,hall,45,9.6,6.4,192000,child,night,gold,elegant,elegant_gold,two_tier_round,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0300-R2,2,BSAR0300,birthday,hall,45,9.6,6.4,192000,child,night,gold,elegant,elegant_gold,two_tier_round,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0302-R1,1,BSAR0302,wedding,outdoor,22,7.5,5.7,57000,adult,night,gold,elegant,elegant_gold,single_tier_square,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0302-R2,2,BSAR0302,wedding,outdoor,22,7.5,5.7,57000,adult,night,gold,elegant,elegant_gold,single_tier_square,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0321-R1,1,BSAR0321,anniversary,outdoor,222,27.3,15.5,520000,adult,day,gold,elegant,elegant_gold,three_tier_luxury,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0321-R2,2,BSAR0321,anniversary,outdoor,222,27.3,15.5,520000,adult,day,gold,elegant,elegant_gold,three_tier_luxury,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0326-R1,1,BSAR0326,anniversary,hall,100,15.7,11,974000,mixed,night,gold,traditional,elegant_gold,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0326-R2,2,BSAR0326,anniversary,hall,100,15.7,11,974000,mixed,night,gold,traditional,elegant_gold,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0331-R1,1,BSAR0331,anniversary,restaurant,13,6.2,4.6,245000,adult,night,gold,traditional,elegant_gold,single_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0331-R2,2,BSAR0331,anniversary,restaurant,13,6.2,4.6,245000,adult,night,gold,traditional,elegant_gold,single_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0334-R1,1,BSAR0334,wedding,home,20,6.2,4.4,129000,mixed,day,purple,elegant,elegant_gold,single_tier_square,flower_wall,single_cake_table,,,,,,,,,,
BSAR0334-R2,2,BSAR0334,wedding,home,20,6.2,4.4,129000,mixed,day,purple,elegant,elegant_gold,single_tier_square,flower_wall,single_cake_table,,,,,,,,,,
BSAR0007-R1,1,BSAR0007,birthday,restaurant,57,9.1,7.5,153000,child,day,green,rustic,rustic_natural,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0007-R2,2,BSAR0007,birthday,restaurant,57,9.1,7.5,153000,child,day,green,rustic,rustic_natural,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0016-R1,1,BSAR0016,baby_shower,hall,42,11.6,6.1,553000,mixed,day,green,rustic,rustic_natural,two_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0016-R2,2,BSAR0016,baby_shower,hall,42,11.6,6.1,553000,mixed,day,green,rustic,rustic_natural,two_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0030-R1,1,BSAR0030,baby_shower,hall,12,5.9,3.9,94000,mixed,day,white,minimal,rustic_natural,single_tier_round,flower_wall,single_cake_table,,,,,,,,,,
BSAR0030-R2,2,BSAR0030,baby_shower,hall,12,5.9,3.9,94000,mixed,day,white,minimal,rustic_natural,single_tier_round,flower_wall,single_cake_table,,,,,,,,,,
BSAR0047-R1,1,BSAR0047,baby_shower,hall,108,13.4,12,290000,mixed,day,white,rustic,rustic_natural,three_tier_luxury,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0047-R2,2,BSAR0047,baby_shower,hall,108,13.4,12,290000,mixed,day,white,rustic,rustic_natural,three_tier_luxury,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0050-R1,1,BSAR0050,birthday,restaurant,56,11.5,7.2,234000,child,night,green,rustic,rustic_natural,two_tier_floral,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0050-R2,2,BSAR0050,birthday,restaurant,56,11.5,7.2,234000,child,night,green,rustic,rustic_natural,two_tier_floral,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0064-R1,1,BSAR0064,wedding,hall,46,11.1,7,93000,mixed,day,white,rustic,rustic_natural,two_tier_floral,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0064-R2,2,BSAR0064,wedding,hall,46,11.1,7,93000,mixed,day,white,rustic,rustic_natural,two_tier_floral,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0066-R1,1,BSAR0066,wedding,hall,97,16.1,10.1,691000,mixed,night,gold,rustic,rustic_natural,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0066-R2,2,BSAR0066,wedding,hall,97,16.1,10.1,691000,mixed,night,gold,rustic,rustic_natural,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0077-R1,1,BSAR0077,anniversary,restaurant,16,5.4,3.8,202000,adult,day,green,rustic,rustic_natural,single_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0077-R2,2,BSAR0077,anniversary,restaurant,16,5.4,3.8,202000,adult,day,green,rustic,rustic_natural,single_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0090-R1,1,BSAR0090,wedding,hall,59,10.2,7.4,137000,adult,night,white,rustic,rustic_natural,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0090-R2,2,BSAR0090,wedding,hall,59,10.2,7.4,137000,adult,night,white,rustic,rustic_natural,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0112-R1,1,BSAR0112,birthday,outdoor,53,13.9,7.5,182000,mixed,day,green,rustic,rustic_natural,two_tier_floral,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0112-R2,2,BSAR0112,birthday,outdoor,53,13.9,7.5,182000,mixed,day,green,rustic,rustic_natural,two_tier_floral,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0114-R1,1,BSAR0114,baby_shower,home,72,9.6,7.2,223000,mixed,night,mixed,minimal,rustic_natural,two_tier_floral,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0114-R2,2,BSAR0114,baby_shower,home,72,9.6,7.2,223000,mixed,night,mixed,minimal,rustic_natural,two_tier_floral,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0121-R1,1,BSAR0121,birthday,home,142,16.4,9.5,473000,adult,day,green,rustic,rustic_natural,three_tier_luxury,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0121-R2,2,BSAR0121,birthday,home,142,16.4,9.5,473000,adult,day,green,rustic,rustic_natural,three_tier_luxury,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0134-R1,1,BSAR0134,wedding,home,9,5.7,4.6,35000,adult,night,mixed,rustic,rustic_natural,single_tier_round,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0134-R2,2,BSAR0134,wedding,home,9,5.7,4.6,35000,adult,night,mixed,rustic,rustic_natural,single_tier_round,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0146-R1,1,BSAR0146,wedding,restaurant,17,7.8,4.7,121000,adult,night,red,rustic,rustic_natural,single_tier_square,flower_wall,single_cake_table,,,,,,,,,,
